bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,waterfront,view,condition,grade,zipcode,ppltn_qty,urbn_ppltn_qty,sbrbn_ppltn_qty,farm_ppltn_qty,non_farm_qty,medn_hshld_incm_amt,medn_incm_per_prsn_amt,hous_val_amt,edctn_less_than_9_qty,edctn_9_12_qty,edctn_high_schl_qty,edctn_some_clg_qty,edctn_assoc_dgre_qty,edctn_bchlr_dgre_qty,edctn_prfsnl_qty,per_urbn,per_sbrbn,per_farm,per_non_farm,per_less_than_9,per_9_to_12,per_hsd,per_some_clg,per_assoc,per_bchlr,per_prfsnl,house_age,renovated_flag,renovation_age,total_sqft,living_to_lot_ratio,bath_bed_ratio,basement_ratio,geo_zip_bucket,geo_cluster_placeholder
4,1.0,1900,9000,1.0,1290,610,1948,0,47.4629,-122.361,1950,10800,0,0,4,7,98166,20163.0,20163.0,0.0,0.0,0.0,50310.0,28904.0,235200.0,508.0,1218.0,3864.0,3986.0,1319.0,3368.0,1541.0,100.0,0.0,0.0,0.0,2.0,6.0,19.0,19.0,6.0,16.0,7.0,67,0,0.0,1900,0.2111111111111111,0.25,0.32105263157894737,166,0
3,2.5,2410,9916,2.0,2410,0,1989,0,47.6911,-122.103,2310,8212,0,0,4,10,98052,50138.0,50138.0,0.0,0.0,0.0,68923.0,36862.0,279400.0,790.0,1888.0,4670.0,9050.0,2946.0,13623.0,5865.0,100.0,0.0,0.0,0.0,1.0,3.0,9.0,18.0,5.0,27.0,11.0,26,0,0.0,2410,0.24304154901169828,0.8333333333333334,0.0,52,0
2,1.5,1120,1312,2.0,1000,120,2004,0,47.534,-122.364,1560,1314,0,0,3,7,98106,23106.0,23106.0,0.0,0.0,0.0,40815.0,17407.0,157600.0,1703.0,2098.0,4027.0,4394.0,1355.0,2497.0,758.0,100.0,0.0,0.0,0.0,7.0,9.0,17.0,19.0,5.0,10.0,3.0,11,0,0.0,1120,0.8536585365853658,0.75,0.10714285714285714,106,0
3,1.75,1340,16480,1.0,1340,0,1968,0,47.364,-122.162,1520,10451,0,0,4,7,98042,38249.0,37394.0,0.0,0.0,855.0,66051.0,25219.0,192000.0,437.0,2301.0,7135.0,7787.0,2202.0,4964.0,1783.0,97.0,0.0,0.0,2.0,1.0,6.0,18.0,20.0,5.0,12.0,4.0,47,0,0.0,1340,0.08131067961165049,0.5833333333333334,0.0,42,0
2,1.0,760,6380,1.0,760,0,1941,0,47.6914,-122.31,1590,6380,0,0,3,6,98115,43263.0,43263.0,0.0,0.0,0.0,58475.0,34026.0,282800.0,370.0,1090.0,3667.0,6852.0,1951.0,13103.0,8891.0,100.0,0.0,0.0,0.0,0.0,2.0,8.0,15.0,4.0,30.0,20.0,74,0,0.0,760,0.11912225705329153,0.5,0.0,115,0
3,1.5,1150,11475,1.0,1150,0,1971,0,47.4629,-121.744,1640,11475,0,0,3,7,98045,13777.0,0.0,11176.0,0.0,2601.0,65674.0,27570.0,235900.0,182.0,869.0,2393.0,2829.0,675.0,2130.0,871.0,0.0,81.0,0.0,18.0,1.0,6.0,17.0,20.0,4.0,15.0,6.0,44,0,0.0,1150,0.10021786492374728,0.5,0.0,45,0
4,1.5,3120,7680,1.0,1660,1460,1956,0,47.646,-122.39,2900,7680,0,3,3,8,98199,19287.0,19287.0,0.0,0.0,0.0,59542.0,37754.0,363400.0,171.0,479.0,1981.0,4042.0,869.0,5676.0,2826.0,100.0,0.0,0.0,0.0,0.0,2.0,10.0,20.0,4.0,29.0,14.0,59,0,0.0,3120,0.40625,0.375,0.46794871794871795,199,0
4,2.25,3490,6906,2.0,2280,1210,1928,0,47.6424,-122.407,2540,6223,0,0,4,10,98199,19287.0,19287.0,0.0,0.0,0.0,59542.0,37754.0,363400.0,171.0,479.0,1981.0,4042.0,869.0,5676.0,2826.0,100.0,0.0,0.0,0.0,0.0,2.0,10.0,20.0,4.0,29.0,14.0,87,0,0.0,3490,0.5053576600057921,0.5625,0.3467048710601719,199,0
3,2.5,1740,4960,2.0,1740,0,1992,0,47.5772,-121.998,1740,5021,0,0,3,8,98029,28497.0,27197.0,0.0,0.0,1300.0,91146.0,41838.0,356600.0,87.0,618.0,2195.0,3842.0,1503.0,6969.0,3970.0,95.0,0.0,0.0,4.0,0.0,2.0,7.0,13.0,5.0,24.0,13.0,23,0,0.0,1740,0.35080645161290325,0.8333333333333334,0.0,29,0
3,2.0,1660,8641,2.0,1660,0,1987,0,47.3663,-122.088,1490,8641,0,0,4,8,98042,38249.0,37394.0,0.0,0.0,855.0,66051.0,25219.0,192000.0,437.0,2301.0,7135.0,7787.0,2202.0,4964.0,1783.0,97.0,0.0,0.0,2.0,1.0,6.0,18.0,20.0,5.0,12.0,4.0,28,0,0.0,1660,0.19210739497743318,0.6666666666666666,0.0,42,0
4,2.5,2110,4178,2.0,2110,0,2013,0,47.3612,-122.081,2300,4142,0,0,3,7,98042,38249.0,37394.0,0.0,0.0,855.0,66051.0,25219.0,192000.0,437.0,2301.0,7135.0,7787.0,2202.0,4964.0,1783.0,97.0,0.0,0.0,2.0,1.0,6.0,18.0,20.0,5.0,12.0,4.0,2,0,0.0,2110,0.505026328386788,0.625,0.0,42,0
4,2.5,2090,5195,2.0,2090,0,2007,0,47.3986,-122.166,2090,5236,0,0,3,7,98031,64181.0,64181.0,0.0,0.0,0.0,50958.0,21411.0,182900.0,2011.0,4483.0,12241.0,12168.0,3998.0,7611.0,2343.0,100.0,0.0,0.0,0.0,3.0,6.0,19.0,18.0,6.0,11.0,3.0,8,0,0.0,2090,0.40230991337824834,0.625,0.0,31,0
4,2.75,2330,3920,2.0,2330,0,2005,0,47.5525,-121.99,2410,4063,0,0,3,9,98029,28497.0,27197.0,0.0,0.0,1300.0,91146.0,41838.0,356600.0,87.0,618.0,2195.0,3842.0,1503.0,6969.0,3970.0,95.0,0.0,0.0,4.0,0.0,2.0,7.0,13.0,5.0,24.0,13.0,10,0,0.0,2330,0.5943877551020408,0.6875,0.0,29,0
3,1.0,880,18109,1.0,880,0,1970,0,47.3634,-122.101,940,11193,0,0,4,6,98042,38249.0,37394.0,0.0,0.0,855.0,66051.0,25219.0,192000.0,437.0,2301.0,7135.0,7787.0,2202.0,4964.0,1783.0,97.0,0.0,0.0,2.0,1.0,6.0,18.0,20.0,5.0,12.0,4.0,45,0,0.0,880,0.04859462145894307,0.3333333333333333,0.0,42,0
3,1.0,1090,7315,1.0,1090,0,1981,0,47.494,-122.165,1090,5800,0,0,5,6,98056,24363.0,24363.0,0.0,0.0,0.0,53608.0,26721.0,209600.0,736.0,1455.0,4596.0,4977.0,1451.0,4476.0,1262.0,100.0,0.0,0.0,0.0,3.0,5.0,18.0,20.0,5.0,18.0,5.0,34,0,0.0,1090,0.14900888585099112,0.3333333333333333,0.0,56,0
2,2.0,1180,3003,2.0,1180,0,2005,0,47.3491,-122.02,1310,3003,0,0,3,6,98038,22453.0,17050.0,0.0,86.0,5317.0,68180.0,26547.0,212100.0,281.0,1054.0,3399.0,4646.0,1486.0,3474.0,1065.0,75.0,0.0,0.0,23.0,1.0,4.0,15.0,20.0,6.0,15.0,4.0,10,0,0.0,1180,0.39294039294039296,1.0,0.0,38,0
4,2.75,3100,7501,2.0,3100,0,1998,0,47.6859,-122.109,3140,8672,0,0,3,10,98052,50138.0,50138.0,0.0,0.0,0.0,68923.0,36862.0,279400.0,790.0,1888.0,4670.0,9050.0,2946.0,13623.0,5865.0,100.0,0.0,0.0,0.0,1.0,3.0,9.0,18.0,5.0,27.0,11.0,17,0,0.0,3100,0.41327822956939075,0.6875,0.0,52,0
2,1.0,1000,4950,1.0,800,200,1948,0,47.5671,-122.394,1060,5500,0,0,3,7,98116,20815.0,20815.0,0.0,0.0,0.0,54563.0,37506.0,286600.0,339.0,707.0,3325.0,4152.0,1236.0,5369.0,2705.0,100.0,0.0,0.0,0.0,1.0,3.0,15.0,19.0,5.0,25.0,12.0,67,0,0.0,1000,0.20202020202020202,0.5,0.2,116,0
4,1.75,1820,7381,1.0,1150,670,1962,0,47.4567,-122.171,1610,8462,0,0,5,7,98058,37695.0,35624.0,0.0,15.0,2056.0,63680.0,26550.0,196900.0,616.0,2090.0,6529.0,7788.0,2244.0,6077.0,2058.0,94.0,0.0,0.0,5.0,1.0,5.0,17.0,20.0,5.0,16.0,5.0,53,0,0.0,1820,0.24657905432868174,0.4375,0.36813186813186816,58,0
3,2.5,1940,8547,1.0,1460,480,1989,0,47.3491,-122.177,1750,7803,0,0,3,7,98030,23926.5,23298.0,0.0,0.0,0.0,56933.0,27639.5,239850.0,406.0,1213.0,3755.5,4638.0,1417.5,4822.0,2072.0,100.0,0.0,0.0,0.0,1.0,5.0,15.0,19.0,5.0,19.0,7.5,26,0,0.0,1940,0.226980226980227,0.8333333333333334,0.24742268041237114,30,0
2,1.0,1200,4880,1.0,980,220,1943,0,47.5276,-122.346,1040,4880,0,0,3,6,98106,23106.0,23106.0,0.0,0.0,0.0,40815.0,17407.0,157600.0,1703.0,2098.0,4027.0,4394.0,1355.0,2497.0,758.0,100.0,0.0,0.0,0.0,7.0,9.0,17.0,19.0,5.0,10.0,3.0,72,0,0.0,1200,0.2459016393442623,0.5,0.18333333333333332,106,0
4,2.5,2150,3721,2.0,2150,0,2007,0,47.3363,-122.215,2150,3721,0,0,3,8,98002,30905.0,30894.0,0.0,0.0,11.0,36991.0,18741.0,141500.0,1114.0,3502.0,7859.0,6080.0,1629.0,1903.0,785.0,99.0,0.0,0.0,0.0,3.0,11.0,25.0,19.0,5.0,6.0,2.0,8,0,0.0,2150,0.5778016662187584,0.625,0.0,2,0
3,2.5,2960,6856,2.0,2960,0,2009,0,47.5906,-122.057,3320,6856,0,0,3,10,98074,23926.5,23298.0,0.0,0.0,0.0,56933.0,27639.5,239850.0,406.0,1213.0,3755.5,4638.0,1417.5,4822.0,2072.0,100.0,0.0,0.0,0.0,1.0,5.0,15.0,19.0,5.0,19.0,7.5,6,0,0.0,2960,0.43173862310385064,0.8333333333333334,0.0,74,0
3,1.0,1020,13504,1.0,1020,0,1959,0,47.5121,-122.17,1110,11158,0,0,5,7,98056,24363.0,24363.0,0.0,0.0,0.0,53608.0,26721.0,209600.0,736.0,1455.0,4596.0,4977.0,1451.0,4476.0,1262.0,100.0,0.0,0.0,0.0,3.0,5.0,18.0,20.0,5.0,18.0,5.0,56,0,0.0,1020,0.07553317535545023,0.3333333333333333,0.0,56,0
3,2.5,1740,4497,2.0,1740,0,2012,0,47.3697,-122.117,1950,4486,0,0,3,7,98042,38249.0,37394.0,0.0,0.0,855.0,66051.0,25219.0,192000.0,437.0,2301.0,7135.0,7787.0,2202.0,4964.0,1783.0,97.0,0.0,0.0,2.0,1.0,6.0,18.0,20.0,5.0,12.0,4.0,3,0,0.0,1740,0.3869246164109406,0.8333333333333334,0.0,42,0
5,4.0,4580,4443,3.0,4580,0,2004,0,47.5682,-122.059,2710,4443,1,4,3,10,98075,23926.5,23298.0,0.0,0.0,0.0,56933.0,27639.5,239850.0,406.0,1213.0,3755.5,4638.0,1417.5,4822.0,2072.0,100.0,0.0,0.0,0.0,1.0,5.0,15.0,19.0,5.0,19.0,7.5,11,0,0.0,4580,1.030835021381949,0.8,0.0,75,0
4,2.0,1790,14690,1.0,1670,120,1960,0,47.3965,-122.321,2440,10664,0,1,4,7,98198,33807.0,33697.0,0.0,0.0,110.0,46628.0,22518.0,171300.0,1119.0,3169.0,7048.0,7517.0,2064.0,3400.0,1379.0,99.0,0.0,0.0,0.0,3.0,9.0,20.0,22.0,6.0,10.0,4.0,55,0,0.0,1790,0.12185159972770593,0.5,0.0670391061452514,198,0
3,2.5,1600,2231,2.0,1600,0,2003,0,47.3314,-122.29,1600,2962,0,0,3,7,98001,25495.0,25245.0,0.0,0.0,250.0,60534.0,24011.0,168400.0,475.0,1828.0,5293.0,5336.0,1687.0,2725.0,856.0,99.0,0.0,0.0,0.0,1.0,7.0,20.0,20.0,6.0,10.0,3.0,12,0,0.0,1600,0.7171671896010757,0.8333333333333334,0.0,1,0
3,2.5,1770,9450,1.0,1770,0,1988,0,47.3196,-122.272,2200,8582,0,0,3,8,98001,25495.0,25245.0,0.0,0.0,250.0,60534.0,24011.0,168400.0,475.0,1828.0,5293.0,5336.0,1687.0,2725.0,856.0,99.0,0.0,0.0,0.0,1.0,7.0,20.0,20.0,6.0,10.0,3.0,27,0,0.0,1770,0.1873015873015873,0.8333333333333334,0.0,1,0
3,2.0,1560,4080,2.0,1560,0,1923,1982,47.6892,-122.319,1900,4080,0,0,3,7,98115,43263.0,43263.0,0.0,0.0,0.0,58475.0,34026.0,282800.0,370.0,1090.0,3667.0,6852.0,1951.0,13103.0,8891.0,100.0,0.0,0.0,0.0,0.0,2.0,8.0,15.0,4.0,30.0,20.0,92,1,33.0,1560,0.38235294117647056,0.6666666666666666,0.0,115,0
4,2.5,2643,5750,2.0,2643,0,2012,0,47.3519,-122.173,2406,5772,0,0,3,8,98030,23926.5,23298.0,0.0,0.0,0.0,56933.0,27639.5,239850.0,406.0,1213.0,3755.5,4638.0,1417.5,4822.0,2072.0,100.0,0.0,0.0,0.0,1.0,5.0,15.0,19.0,5.0,19.0,7.5,3,0,0.0,2643,0.45965217391304347,0.625,0.0,30,0
5,3.5,3420,6403,2.0,2700,720,2013,0,47.5162,-121.874,2710,6038,0,2,3,8,98065,3710.0,0.0,2296.0,0.0,1414.0,60658.0,24746.0,206600.0,74.0,250.0,655.0,732.0,196.0,599.0,186.0,0.0,61.0,0.0,38.0,1.0,6.0,17.0,19.0,5.0,16.0,5.0,2,0,0.0,3420,0.5341246290801187,0.7,0.21052631578947367,65,0
3,1.75,2280,139392,1.0,2280,0,1977,0,47.291,-122.118,2280,117176,0,0,3,8,98092,24972.0,20999.0,0.0,74.0,3899.0,62478.0,25505.0,211200.0,554.0,1763.0,4784.0,4817.0,1717.0,2903.0,1032.0,84.0,0.0,0.0,15.0,2.0,7.0,19.0,19.0,6.0,11.0,4.0,38,0,0.0,2280,0.016356749311294765,0.5833333333333334,0.0,92,0
5,2.0,2400,9537,1.0,1210,1190,1959,0,47.5112,-122.186,1760,9533,0,0,5,7,98056,24363.0,24363.0,0.0,0.0,0.0,53608.0,26721.0,209600.0,736.0,1455.0,4596.0,4977.0,1451.0,4476.0,1262.0,100.0,0.0,0.0,0.0,3.0,5.0,18.0,20.0,5.0,18.0,5.0,56,0,0.0,2400,0.2516514627241271,0.4,0.49583333333333335,56,0
4,2.0,2750,5527,2.0,2130,620,1901,1987,47.6513,-122.368,1290,1764,0,0,3,8,98119,19493.0,19493.0,0.0,0.0,0.0,49222.0,40315.0,402400.0,159.0,558.0,1965.0,4733.0,1055.0,5985.0,3225.0,100.0,0.0,0.0,0.0,0.0,2.0,10.0,24.0,5.0,30.0,16.0,114,1,28.0,2750,0.497557445268681,0.5,0.22545454545454546,119,0
4,2.5,2470,3811,2.0,2470,0,1999,0,47.5362,-121.877,2400,4266,0,0,3,8,98065,3710.0,0.0,2296.0,0.0,1414.0,60658.0,24746.0,206600.0,74.0,250.0,655.0,732.0,196.0,599.0,186.0,0.0,61.0,0.0,38.0,1.0,6.0,17.0,19.0,5.0,16.0,5.0,16,0,0.0,2470,0.6481238520073471,0.625,0.0,65,0
2,1.0,750,5120,1.0,750,0,1941,0,47.5312,-122.375,930,7200,0,0,4,6,98126,19435.0,19435.0,0.0,0.0,0.0,47519.0,25844.0,200000.0,964.0,1516.0,3123.0,3812.0,1145.0,3290.0,1485.0,100.0,0.0,0.0,0.0,4.0,7.0,16.0,19.0,5.0,16.0,7.0,74,0,0.0,750,0.146484375,0.5,0.0,126,0
4,2.5,3210,8532,2.0,3210,0,1998,0,47.625,-122.144,2950,6753,0,0,3,10,98007,22814.0,22814.0,0.0,0.0,0.0,48606.0,28398.0,252600.0,599.0,1148.0,3077.0,4085.0,1326.0,5341.0,2818.0,100.0,0.0,0.0,0.0,2.0,5.0,13.0,17.0,5.0,23.0,12.0,17,0,0.0,3210,0.3762306610407876,0.625,0.0,7,0
3,1.75,1430,16200,1.0,1430,0,1967,0,47.5223,-122.043,1690,13125,0,0,4,7,98027,22271.0,18009.0,0.0,0.0,4262.0,70085.0,34109.0,308700.0,250.0,739.0,2715.0,3874.0,1337.0,5455.0,2452.0,80.0,0.0,0.0,19.0,1.0,3.0,12.0,17.0,6.0,24.0,11.0,48,0,0.0,1430,0.0882716049382716,0.5833333333333334,0.0,27,0
3,1.5,1430,8960,1.0,1430,0,1953,0,47.4759,-122.349,1560,10125,0,0,4,6,98166,20163.0,20163.0,0.0,0.0,0.0,50310.0,28904.0,235200.0,508.0,1218.0,3864.0,3986.0,1319.0,3368.0,1541.0,100.0,0.0,0.0,0.0,2.0,6.0,19.0,19.0,6.0,16.0,7.0,62,0,0.0,1430,0.15959821428571427,0.5,0.0,166,0
